ID,Check-in,Check-out,Noches,Adultos,Niños,Habitación,Tipo,Habitación_ID,Precio,Moneda,Fuente,URL_Airbnb,Teléfono
33145,"2025-10-28","2025-11-09",11,10,6,"N/A","N/A",337,0,"COP","Airbnb","",""
33147,"2025-11-20","2025-11-24",4,10,6,"N/A","N/A",337,0,"COP","Airbnb","",""
33149,"2025-12-06","2025-12-10",4,10,6,"N/A","N/A",337,0,"COP","Airbnb","",""
33151,"2025-12-14","2025-12-19",5,10,6,"N/A","N/A",337,0,"COP","Airbnb","",""
33153,"2026-02-14","2026-02-18",4,10,6,"N/A","N/A",337,0,"COP","Airbnb","",""
33137,"2026-01-20","2026-01-25",5,10,6,"N/A","N/A",337,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMDAFE3E93","0098"
33139,"2026-03-02","2026-03-08",6,10,6,"N/A","N/A",337,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMW8CAF5PY","8405"
33131,"2025-12-23","2025-12-29",6,10,6,"N/A","N/A",337,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HM2PBRTSR2","3968"
33133,"2026-01-02","2026-01-06",4,10,6,"N/A","N/A",337,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMZ4HZCAP8","8599"
33135,"2026-01-07","2026-01-11",4,10,6,"N/A","N/A",337,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMM88A323J","9315"
33129,"2025-10-25","2025-10-28",3,10,6,"N/A","N/A",337,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HM3KTNNJQ5","2833"
33124,"2025-10-18","2025-10-20",2,2,5,"N/A","N/A",309,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HM3BNEA38B","4850"
33120,"2025-12-07","2025-12-12",5,2,0,"N/A","N/A",331,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMMJAQ4FY4","1390"
33118,"2025-10-26","2025-10-31",5,2,0,"N/A","N/A",331,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMP3C4NS48","0421"
33112,"2026-01-07","2026-01-11",4,2,0,"N/A","N/A",322,0,"COP","Airbnb","",""
33116,"2026-03-02","2026-03-08",6,2,0,"N/A","N/A",322,0,"COP","Airbnb","",""
33110,"2025-12-07","2025-12-20",13,2,5,"N/A","N/A",309,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMDYA5N5BD","6511"
33104,"2026-01-20","2026-01-25",5,2,0,"N/A","N/A",325,0,"COP","Airbnb","",""
33106,"2026-03-02","2026-03-08",6,2,0,"N/A","N/A",325,0,"COP","Airbnb","",""
33094,"2025-10-25","2025-10-28",3,2,0,"N/A","N/A",325,0,"COP","Airbnb","",""
33096,"2025-11-14","2025-11-17",3,2,0,"N/A","N/A",325,0,"COP","Airbnb","",""
33098,"2025-12-23","2025-12-29",6,2,0,"N/A","N/A",325,0,"COP","Airbnb","",""
33100,"2026-01-02","2026-01-06",4,2,0,"N/A","N/A",325,0,"COP","Airbnb","",""
33102,"2026-01-07","2026-01-11",4,2,0,"N/A","N/A",325,0,"COP","Airbnb","",""
33090,"2025-10-24","2025-10-26",2,2,0,"N/A","N/A",331,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMWKDQNFWC","7671"
33088,"2025-12-26","2026-01-01",5,2,0,"N/A","N/A",328,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMJZ85TDBS","6061"
