ID,Check-in,Check-out,Noches,Adultos,Niños,Habitación,Tipo,Habitación_ID,Precio,Moneda,Fuente,URL_Airbnb,Teléfono
30167,"2025-11-18","2025-11-25",7,6,5,"N/A","N/A",10082,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMW8345AHW","4571"
30169,"2025-12-01","2025-12-08",7,6,5,"N/A","N/A",10082,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HM88YJDXFM","6887"
30171,"2025-12-13","2025-12-19",6,6,5,"N/A","N/A",10082,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HM99WE9WPY","3194"
30173,"2025-12-27","2026-01-05",8,6,5,"N/A","N/A",10082,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMZB28ZF83","6408"
30175,"2026-01-07","2026-01-15",8,6,5,"N/A","N/A",10082,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HM5DBRC882","6766"
30177,"2026-01-20","2026-01-27",7,6,5,"N/A","N/A",10082,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMZB4ZP42B","7350"
30179,"2026-02-03","2026-02-11",8,6,5,"N/A","N/A",10082,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HM5JH2HZC5","7219"
30181,"2026-02-12","2026-02-18",6,6,5,"N/A","N/A",10082,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HM2WRBKFR2","8510"
30183,"2026-02-23","2026-03-01",8,6,5,"N/A","N/A",10082,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMJM3MNTYE","7042"
30185,"2026-03-02","2026-03-10",8,6,5,"N/A","N/A",10082,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMR5A5R4Z4","4443"
30187,"2026-03-18","2026-03-23",5,6,5,"N/A","N/A",10082,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HM4WTJX9EF","5434"
30189,"2026-04-11","2026-04-15",4,6,5,"N/A","N/A",10082,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMJNN5CESE","2090"
30163,"2025-10-18","2025-10-19",1,2,0,"N/A","N/A",12460,0,"COP","Airbnb","",""
30161,"2025-10-18","2025-10-19",1,4,3,"N/A","N/A",334,0,"COP","Airbnb","",""
30159,"2025-10-18","2025-10-19",1,4,3,"N/A","N/A",328,0,"COP","Airbnb","",""
30157,"2025-10-18","2025-10-19",1,3,2,"N/A","N/A",325,0,"COP","Airbnb","",""
